id	lens	verdict	severity	file:line	title	lane
p-impatient-10	p-impatient	confirmed	low	app.js:8087	'+ Up Next' on an archived playlist part accepts an episode that cannot play: the button turns '✓ Up Next', the row lands in Up Next as 'not available right now', and continuous playback silently passes over it	L3-queue-and-native-surfaces
p-impatient-11	p-impatient	confirmed	low	app.js:1921	A queue-builder with a long Up Next can lose the FRONT of it: the 400-snapshot cap prunes oldest keys first, and Up Next + History together exceed it	L3-queue-and-native-surfaces
p-foray-1	p-foray	confirmed	medium	player/interlude.js:123	The interlude jingle plays between two clips of the SAME conversation - 13 of the 21 seams in the only published Foray	L8-foray-surfaces
p-foray-2	p-foray	confirmed	medium	app.js:2438	Every show in the only published Foray is a dead end in-app: no row links, and all seven credit arrows send the listener to an Apple Podcasts SEARCH page	L8-foray-surfaces
p-foray-3	p-foray	deliberate	low	app.js:7730	'Jump back in' Foray cards have no play button, although the founder asked for one-tap play on that card and the ribbon already resumes a Foray in one press	
p-foray-4	p-foray	confirmed	medium	app.js:6869	Search cannot find a Foray: typing the Foray's own subject returns shows, episodes and playlists, never the Foray	L4-search-create-playlists
p-foray-5	p-foray	confirmed	medium	app.js:9480	Clip rows are captioned with the curator's private 'why' notes: bare surnames and dangling pronouns, and the episode title is never shown on the row	L8-foray-surfaces
p-foray-6	p-foray	confirmed	medium	app.js:9200	A thumbs-down for 'Bad audio quality' or 'Didn't like the voice' lowers the listener's interest in the whole subject, exactly like 'Not into this topic'	L6-navigation-firstrun-copy
p-foray-7	p-foray	confirmed	medium	player/segment-strip.js:551	A generated Foray's strip overflows the phone width on the Foray page and silently degrades the scrubber	L8-foray-surfaces
p-foray-12	p-foray	confirmed	low	app.js:9291	The narrator has three names on one Foray page	L8-foray-surfaces
p-foray-13	p-foray	refuted	low	app.js:9545	The clip feedback sheet talks about Home 'picks' while the listener is judging a Foray clip, and nothing ever asks about the Foray itself	
